,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,training,JobSatisfaction,PerformanceRating,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,TrainingTimesLastYear
1564,55,Non-Travel,1255,Research & Development,42,3,52,8320,6656,Sales Representative,16,Technical Degree,1,55-8958989,2,M,2,3,2,3,3,No,20,1,33,2,37,16,7,14,1,3
1565,43,Travel_Rarely,575,Research & Development,4,3,110,17600,14080,Research Scientist,20,Human Resources,1,74-8125752,4,F,2,3,4,2,5,No,25,2,2,2,22,12,0,5,1,3
1566,25,Travel_Rarely,116,Research & Development,36,5,118,18880,15104,Research Director,20,Medical,1,14-5290236,4,F,3,3,3,3,7,No,21,2,39,4,23,10,13,15,0,3
1567,50,Travel_Frequently,649,Human Resources,50,3,99,15840,12672,Laboratory Technician,16,Technical Degree,1,45-3680237,4,M,2,3,3,3,6,No,12,2,36,1,25,11,2,8,1,5
1568,25,Non-Travel,1331,Sales,33,3,132,21120,16896,Research Scientist,18,Medical,1,86-4264416,1,M,1,3,1,2,8,No,17,1,16,2,38,0,6,1,0,0
1569,50,Travel_Rarely,1213,Human Resources,24,2,110,17600,14080,Manufacturing Director,16,Technical Degree,1,97-6228251,1,M,2,3,4,2,7,No,23,1,33,1,36,11,14,17,1,0
1570,20,Non-Travel,848,Human Resources,13,4,134,21440,17152,Research Director,16,Life Sciences,1,26-6349422,4,M,2,3,3,4,3,No,22,2,16,4,32,16,2,1,1,1
1571,55,Non-Travel,1495,Sales,1,2,116,18560,14848,Manufacturing Director,16,Life Sciences,1,97-9547453,3,M,1,3,2,1,6,No,17,0,17,1,15,12,11,8,1,0
1572,36,Travel_Rarely,238,Research & Development,41,1,76,12160,9728,Sales Representative,16,Medical,1,48-9585217,1,F,2,3,2,2,5,No,17,0,36,2,28,3,10,13,1,1
1573,53,Travel_Rarely,819,Sales,28,5,32,5120,4096,Sales Executive,16,Life Sciences,1,02-9021179,1,M,3,3,2,3,2,No,22,2,15,4,5,19,4,15,0,4
1574,52,Travel_Frequently,555,Research & Development,12,3,126,20160,16128,Manufacturing Director,16,Human Resources,1,54-4828252,4,M,4,3,4,4,2,No,10,2,17,3,17,17,8,15,0,1
1575,19,Travel_Rarely,699,Research & Development,34,1,57,9120,7296,Healthcare Representative,12,Technical Degree,1,20-4055386,2,F,3,3,4,1,4,No,21,1,20,4,13,5,7,14,1,6
1576,24,Travel_Frequently,1389,Human Resources,36,5,83,13280,10624,Research Director,16,Sales,1,43-5604871,2,M,1,3,2,3,1,No,12,3,27,3,22,13,0,6,0,3
1577,58,Non-Travel,753,Sales,41,3,86,13760,11008,Manager,18,Human Resources,1,36-8022465,4,F,2,3,3,2,5,No,15,1,0,4,19,19,9,0,0,6
1578,59,Travel_Rarely,172,Research & Development,11,2,135,21600,17280,Sales Executive,16,Technical Degree,1,10-5720402,2,M,4,3,2,3,5,No,17,1,12,3,25,4,15,13,0,2
1579,53,Non-Travel,598,Human Resources,32,1,132,21120,16896,Sales Representative,16,Human Resources,1,65-3971574,2,F,3,3,2,1,6,No,17,0,28,3,16,14,5,8,0,2
1580,49,Travel_Frequently,428,Human Resources,19,4,112,17920,14336,Sales Executive,16,Sales,1,25-5147555,3,F,4,3,3,1,8,No,12,3,34,3,16,9,14,9,1,6
1581,29,Travel_Frequently,882,Sales,16,1,91,14560,11648,Sales Representative,12,Sales,1,85-8383620,4,M,4,3,3,3,3,No,10,0,21,3,19,13,13,14,0,5
1582,35,Travel_Rarely,1297,Human Resources,31,4,113,18080,14464,Research Director,16,Life Sciences,1,14-1731959,3,M,1,3,2,3,4,No,21,2,34,1,35,2,14,17,1,5
1583,21,Travel_Frequently,112,Research & Development,29,4,54,8640,6912,Laboratory Technician,18,Technical Degree,1,16-3267882,1,F,4,3,4,3,6,No,11,3,7,1,16,3,8,17,0,1
1584,49,Travel_Rarely,318,Research & Development,26,4,56,8960,7168,Laboratory Technician,16,Medical,1,71-5513443,4,M,2,3,2,4,2,No,18,2,10,4,0,10,1,2,0,3
1585,25,Travel_Rarely,305,Sales,28,3,52,8320,6656,Laboratory Technician,16,Technical Degree,1,50-3521210,2,F,2,3,4,3,5,No,11,2,31,2,12,19,6,6,1,2
1586,38,Non-Travel,707,Research & Development,4,4,115,18400,14720,Research Director,16,Technical Degree,1,38-3534900,4,F,3,3,2,3,7,No,17,3,34,1,7,9,13,12,1,1
1587,46,Non-Travel,532,Research & Development,24,1,41,6560,5248,Laboratory Technician,16,Human Resources,1,34-4414326,2,M,4,3,4,3,7,No,23,0,6,1,36,7,5,8,0,5
1588,22,Travel_Rarely,515,Human Resources,48,2,60,9600,7680,Research Director,18,Human Resources,1,64-4879513,4,F,3,3,2,2,3,No,15,0,1,1,22,20,10,12,0,6
1589,35,Travel_Frequently,446,Sales,38,2,106,16960,13568,Sales Executive,14,Sales,1,89-6586298,3,F,2,3,1,2,2,No,19,1,10,1,10,20,6,10,0,2
1590,59,Non-Travel,1347,Sales,39,3,89,14240,11392,Manager,16,Life Sciences,1,92-5989589,3,F,3,3,4,3,7,No,18,2,11,2,24,18,7,2,1,3
1591,36,Non-Travel,873,Sales,7,2,103,16480,13184,Manufacturing Director,14,Human Resources,1,85-0932932,4,M,1,3,4,1,7,No,16,1,1,4,22,10,13,7,1,3
1592,19,Travel_Rarely,689,Human Resources,43,2,45,7200,5760,Sales Representative,16,Other,1,73-3850097,4,M,2,3,2,3,6,No,16,0,16,4,33,11,14,1,1,0
1593,38,Travel_Rarely,1246,Human Resources,5,2,54,8640,6912,Manufacturing Director,16,Medical,1,66-7771367,1,M,1,3,4,3,8,No,21,1,39,1,21,19,12,4,0,0
1594,54,Travel_Frequently,616,Research & Development,29,5,99,15840,12672,Manufacturing Director,16,Medical,1,75-3624607,4,M,2,3,4,1,2,No,14,3,17,1,35,18,11,7,1,1
1595,33,Non-Travel,779,Research & Development,18,2,55,8800,7040,Healthcare Representative,14,Other,1,85-4823638,1,M,4,3,3,4,2,No,11,0,14,4,0,8,15,9,0,1
1596,18,Travel_Rarely,673,Human Resources,19,4,111,17760,14208,Research Scientist,20,Human Resources,1,45-5958670,3,M,2,3,1,4,1,No,17,3,3,1,10,15,6,2,0,5
1597,45,Non-Travel,1154,Research & Development,41,2,136,21760,17408,Manager,14,Technical Degree,1,71-3663870,2,F,4,3,2,4,6,No,18,0,14,2,38,0,13,2,1,2
1598,53,Travel_Frequently,1052,Research & Development,30,5,144,23040,18432,Manufacturing Director,16,Technical Degree,1,70-3546078,2,M,4,3,1,4,1,No,24,2,16,3,18,9,7,11,0,0
1599,22,Non-Travel,1329,Sales,20,5,138,22080,17664,Manager,16,Sales,1,33-7070160,4,F,4,3,3,2,2,No,10,2,27,4,0,20,13,9,1,0
1600,52,Travel_Rarely,1196,Human Resources,49,3,58,9280,7424,Research Director,16,Other,1,82-8786897,3,F,2,3,2,4,3,No,14,2,6,4,23,6,10,13,0,3
1601,19,Non-Travel,1254,Research & Development,39,3,75,12000,9600,Manager,16,Other,1,58-9471491,3,M,1,3,1,1,8,No,24,2,29,3,5,13,8,13,1,6
1602,31,Travel_Rarely,844,Research & Development,36,3,49,7840,6272,Laboratory Technician,18,Technical Degree,1,46-1611389,2,M,4,3,2,3,7,No,25,2,13,3,11,3,9,5,0,2
1603,42,Non-Travel,1069,Human Resources,16,4,60,9600,7680,Healthcare Representative,14,Technical Degree,1,76-2411917,1,M,2,3,4,3,6,No,25,2,11,4,13,9,2,9,1,0
1604,47,Non-Travel,274,Human Resources,25,5,122,19520,15616,Manager,18,Technical Degree,1,33-5904183,4,F,3,3,2,1,7,No,15,2,34,2,3,13,10,15,0,1
1605,49,Travel_Rarely,1486,Human Resources,18,4,98,15680,12544,Research Director,18,Other,1,23-2174670,3,M,3,3,1,4,1,No,23,3,13,1,0,14,14,6,1,4
1606,35,Travel_Frequently,1128,Sales,25,4,150,24000,19200,Research Director,16,Sales,1,99-4843660,2,M,2,3,3,4,6,No,24,2,4,2,19,16,2,15,1,1
1607,29,Travel_Frequently,375,Research & Development,4,5,111,17760,14208,Sales Executive,14,Sales,1,11-7032665,4,M,4,3,1,2,1,No,16,2,33,4,4,12,14,9,0,5
1608,59,Travel_Frequently,843,Sales,10,1,127,20320,16256,Sales Representative,12,Technical Degree,1,14-6000688,2,M,2,3,2,1,2,No,25,1,17,2,5,6,8,13,1,2
1609,60,Travel_Rarely,551,Human Resources,36,5,78,12480,9984,Research Scientist,16,Other,1,42-1393922,2,M,1,3,2,2,5,No,14,3,16,4,22,10,9,13,0,2
1610,21,Non-Travel,1184,Sales,6,3,139,22240,17792,Sales Executive,18,Technical Degree,1,60-9138817,1,F,3,3,4,4,3,No,11,1,14,2,20,7,7,11,1,1
1611,36,Non-Travel,226,Research & Development,50,5,114,18240,14592,Manager,18,Life Sciences,1,43-0251873,1,F,3,3,3,4,4,No,19,3,1,2,6,1,15,16,1,5
1612,49,Travel_Rarely,706,Research & Development,46,2,39,6240,4992,Laboratory Technician,16,Other,1,87-4531252,2,M,1,3,1,2,8,No,24,1,31,3,33,18,6,11,1,6
1613,32,Travel_Rarely,1339,Research & Development,28,1,59,9440,7552,Human Resources,14,Medical,1,21-5008482,4,F,4,3,3,4,8,No,10,1,11,3,30,20,11,17,0,5
1614,43,Non-Travel,810,Research & Development,26,4,62,9920,7936,Laboratory Technician,16,Life Sciences,1,46-1521596,3,F,4,3,2,3,3,No,18,3,25,3,34,10,15,12,1,2
1615,58,Travel_Frequently,1019,Sales,38,2,57,9120,7296,Sales Executive,16,Human Resources,1,46-3621404,4,F,1,3,3,3,5,No,21,1,16,2,18,6,3,7,1,2
1616,34,Travel_Frequently,1224,Human Resources,43,2,63,10080,8064,Human Resources,14,Sales,1,62-2124064,3,M,2,3,1,4,8,No,17,0,38,2,11,0,13,17,1,1
1617,50,Travel_Rarely,1376,Human Resources,5,1,41,6560,5248,Sales Representative,18,Medical,1,41-0023330,3,M,2,3,3,4,0,No,10,0,21,2,9,8,6,16,1,5
1618,44,Travel_Frequently,234,Research & Development,6,4,148,23680,18944,Research Director,20,Other,1,49-4755456,4,F,1,3,1,4,2,No,20,3,12,3,27,10,7,0,0,6
1619,58,Non-Travel,458,Research & Development,50,3,37,5920,4736,Laboratory Technician,18,Technical Degree,1,42-1320815,4,F,3,3,2,2,3,No,12,1,0,3,25,10,0,2,0,2
1620,45,Travel_Rarely,883,Sales,13,3,83,13280,10624,Healthcare Representative,12,Human Resources,1,35-4305715,1,F,2,3,4,4,6,No,19,1,39,4,30,6,7,13,0,1
1621,33,Non-Travel,514,Research & Development,1,2,82,13120,10496,Laboratory Technician,14,Sales,1,40-8901290,4,F,4,3,2,2,7,No,20,1,33,3,16,15,6,7,0,6
1622,32,Non-Travel,511,Sales,26,4,145,23200,18560,Manager,16,Technical Degree,1,15-0492752,3,F,4,3,3,2,5,No,20,3,22,4,0,12,1,1,1,5
1623,20,Travel_Frequently,1148,Sales,18,5,144,23040,18432,Research Director,18,Human Resources,1,58-9783036,3,F,4,3,1,3,2,No,15,2,28,2,14,14,6,12,0,3
1624,56,Non-Travel,1285,Sales,30,2,87,13920,11136,Research Director,16,Technical Degree,1,36-9607577,2,M,4,3,4,1,2,No,25,0,14,1,17,10,8,16,1,3
1625,48,Travel_Rarely,588,Research & Development,43,2,43,6880,5504,Human Resources,14,Medical,1,37-3280506,2,M,2,3,4,1,1,No,18,0,23,4,40,17,3,16,0,0
1626,27,Travel_Frequently,1345,Research & Development,6,4,111,17760,14208,Research Director,20,Technical Degree,1,82-2599140,3,M,3,3,1,4,0,No,20,3,35,4,22,0,13,8,1,1
1627,35,Travel_Rarely,1204,Research & Development,16,1,44,7040,5632,Laboratory Technician,16,Human Resources,1,73-9028486,1,F,1,3,3,4,0,No,23,1,35,2,15,1,12,14,0,3
1628,57,Non-Travel,1382,Research & Development,28,5,77,12320,9856,Research Scientist,18,Life Sciences,1,24-9923600,2,F,2,3,3,3,5,No,24,3,3,1,12,8,7,1,0,1
1629,51,Travel_Rarely,1044,Sales,20,1,48,7680,6144,Laboratory Technician,16,Life Sciences,1,85-4061610,3,M,1,3,1,3,1,No,19,1,37,4,16,2,2,17,0,2
1630,29,Travel_Rarely,974,Human Resources,19,4,147,23520,18816,Manufacturing Director,14,Technical Degree,1,40-4592015,2,F,2,3,3,2,0,No,17,2,11,4,9,10,11,11,1,4
1631,53,Travel_Rarely,1435,Sales,39,4,61,9760,7808,Research Scientist,20,Life Sciences,1,51-1007039,3,F,1,3,3,3,6,No,19,2,17,2,21,17,9,1,1,5
1632,47,Travel_Frequently,1188,Human Resources,14,3,131,20960,16768,Manager,14,Life Sciences,1,27-3510397,2,F,4,3,2,4,7,No,25,1,7,3,12,18,15,4,1,1
1633,51,Travel_Frequently,557,Human Resources,33,5,143,22880,18304,Manufacturing Director,16,Other,1,48-7492282,2,F,4,3,3,4,6,No,13,2,20,2,28,8,7,16,0,3
1634,46,Travel_Frequently,1321,Human Resources,14,1,52,8320,6656,Sales Representative,16,Sales,1,05-2385359,4,F,3,3,2,2,2,No,11,0,25,1,33,20,1,5,1,2
1635,38,Travel_Rarely,718,Human Resources,48,5,51,8160,6528,Manufacturing Director,16,Human Resources,1,96-5332795,2,M,2,3,2,3,0,No,20,3,37,2,21,13,13,10,1,6
1636,35,Travel_Rarely,480,Sales,7,1,36,5760,4608,Sales Representative,16,Technical Degree,1,74-0768504,1,M,4,3,1,2,7,No,12,1,21,2,39,16,6,11,0,6
1637,33,Travel_Rarely,135,Research & Development,24,5,136,21760,17408,Research Director,20,Other,1,75-9354670,3,M,3,3,4,1,1,No,23,2,18,3,22,19,2,4,1,1
1638,23,Non-Travel,1276,Sales,46,5,67,10720,8576,Research Scientist,20,Other,1,22-1911200,1,M,1,3,1,2,6,No,25,3,32,3,26,12,4,16,1,4
1639,37,Travel_Rarely,1267,Sales,34,1,83,13280,10624,Laboratory Technician,14,Sales,1,91-5905285,1,F,2,3,4,3,4,No,15,1,22,3,36,8,14,4,0,3
1640,59,Non-Travel,348,Research & Development,33,2,33,5280,4224,Laboratory Technician,18,Sales,1,12-2606743,2,F,4,3,2,2,7,No,12,1,0,3,12,20,12,11,1,6
1641,56,Non-Travel,1441,Human Resources,21,4,73,11680,9344,Sales Executive,16,Human Resources,1,12-4465884,2,M,1,3,2,4,8,No,14,3,31,4,26,1,7,9,0,3
1642,26,Non-Travel,204,Sales,50,2,53,8480,6784,Research Scientist,18,Medical,1,61-0088114,3,F,4,3,1,4,4,No,12,0,2,4,34,4,12,12,0,5
1643,19,Travel_Frequently,1104,Research & Development,17,3,118,18880,15104,Manufacturing Director,14,Medical,1,00-7880094,4,F,4,3,4,4,5,No,18,1,23,3,32,16,1,14,0,6
1644,43,Travel_Rarely,633,Research & Development,41,5,43,6880,5504,Research Director,18,Technical Degree,1,12-6684873,4,M,4,3,1,3,4,No,16,2,25,2,40,0,14,12,0,5
1645,44,Travel_Frequently,1288,Research & Development,28,1,116,18560,14848,Laboratory Technician,16,Medical,1,93-3370459,1,F,4,3,1,4,4,No,20,0,4,2,2,20,0,8,0,2
1646,40,Travel_Rarely,1325,Human Resources,6,3,100,16000,12800,Sales Executive,18,Technical Degree,1,28-9403183,3,F,2,3,4,1,0,No,12,2,38,2,38,2,12,10,0,1
1647,29,Non-Travel,1479,Sales,17,3,132,21120,16896,Manufacturing Director,14,Human Resources,1,76-5180701,1,F,1,3,4,2,5,No,14,2,22,2,8,9,6,17,1,1
1648,49,Non-Travel,934,Human Resources,9,2,76,12160,9728,Research Director,20,Technical Degree,1,44-7622466,2,F,2,3,2,2,3,No,23,1,5,1,3,19,13,3,1,6
1649,53,Non-Travel,401,Human Resources,20,4,54,8640,6912,Manufacturing Director,14,Other,1,00-4328705,2,F,3,3,2,3,3,No,19,2,24,3,38,5,0,8,0,3
1650,42,Travel_Rarely,134,Human Resources,36,4,137,21920,17536,Manager,16,Other,1,72-6524559,2,F,3,3,1,3,2,No,19,2,26,1,9,10,0,9,0,6
1651,35,Non-Travel,840,Research & Development,31,3,51,8160,6528,Research Director,20,Other,1,92-6088345,4,M,1,3,1,4,7,No,15,2,6,1,35,20,7,10,1,6
1652,41,Non-Travel,504,Human Resources,27,5,36,5760,4608,Sales Executive,16,Other,1,58-8548658,4,M,2,3,1,4,1,No,16,2,20,1,12,8,4,16,0,6
1653,24,Travel_Rarely,962,Research & Development,5,3,51,8160,6528,Manufacturing Director,16,Life Sciences,1,83-6387991,4,M,1,3,3,1,5,No,14,1,8,1,28,11,15,6,1,4
1654,57,Travel_Rarely,562,Sales,12,4,70,11200,8960,Manufacturing Director,14,Sales,1,98-6717897,4,M,3,3,1,2,7,No,11,2,27,1,17,8,15,4,1,3
1655,41,Non-Travel,606,Research & Development,36,3,35,5600,4480,Human Resources,12,Sales,1,49-7978808,3,F,2,3,4,2,0,No,20,1,5,1,5,4,6,15,1,0
1656,53,Travel_Rarely,641,Research & Development,32,1,40,6400,5120,Sales Representative,16,Sales,1,53-0262836,1,M,3,3,2,3,3,No,11,0,34,2,6,16,6,11,0,3
1657,36,Travel_Rarely,334,Sales,34,5,80,12800,10240,Sales Executive,18,Human Resources,1,39-3938870,4,M,4,3,1,4,3,No,18,2,32,4,16,8,2,6,1,0
1658,38,Travel_Frequently,822,Research & Development,7,1,134,21440,17152,Laboratory Technician,14,Sales,1,10-2660857,2,F,4,3,1,1,3,No,14,1,0,3,18,17,4,2,0,0
1659,60,Non-Travel,360,Human Resources,39,1,79,12640,10112,Healthcare Representative,12,Human Resources,1,42-0022397,2,F,3,3,2,3,3,No,13,1,28,3,30,15,14,3,1,2
1660,34,Non-Travel,1260,Sales,40,1,140,22400,17920,Sales Representative,14,Technical Degree,1,76-7368397,3,M,3,3,4,2,2,No,20,1,2,3,38,1,2,13,1,2
1661,37,Travel_Frequently,1412,Research & Development,11,1,136,21760,17408,Sales Representative,14,Sales,1,80-7777501,4,M,4,3,3,1,5,No,25,1,32,1,32,10,15,11,0,4
1662,40,Travel_Frequently,382,Sales,45,5,147,23520,18816,Human Resources,16,Medical,1,13-1972238,3,F,3,3,1,4,1,No,18,3,27,1,6,1,0,11,0,0
1663,28,Travel_Rarely,509,Sales,43,1,111,17760,14208,Sales Representative,18,Technical Degree,1,36-5844712,3,M,1,3,1,4,0,No,15,1,21,2,14,14,14,10,1,1
1664,23,Travel_Frequently,148,Human Resources,36,4,62,9920,7936,Laboratory Technician,16,Medical,1,80-7096910,2,M,4,3,2,4,3,No,15,2,15,1,6,10,7,16,1,2
1665,55,Non-Travel,369,Research & Development,6,5,114,18240,14592,Research Director,18,Medical,1,43-4193074,3,F,4,3,3,3,8,No,18,3,21,2,17,17,14,1,0,4
1666,24,Travel_Frequently,532,Human Resources,18,1,57,9120,7296,Laboratory Technician,18,Other,1,57-9177668,4,M,4,3,1,4,3,No,13,0,36,4,29,12,11,0,1,4
1667,44,Non-Travel,1417,Sales,17,1,86,13760,11008,Laboratory Technician,16,Human Resources,1,77-2600257,3,F,4,3,2,3,1,No,11,1,15,3,8,17,1,7,1,1
1668,37,Travel_Frequently,976,Human Resources,48,2,104,16640,13312,Research Scientist,16,Sales,1,85-3258119,2,M,1,3,1,4,1,No,21,1,38,1,34,9,14,7,0,1
1669,47,Travel_Rarely,1270,Sales,5,5,83,13280,10624,Research Director,20,Life Sciences,1,16-1205795,2,M,3,3,4,4,6,No,16,2,6,4,13,10,5,15,0,5
1670,24,Travel_Rarely,1157,Sales,15,4,80,12800,10240,Research Director,16,Human Resources,1,49-4465749,2,M,2,3,1,4,6,No,21,2,7,1,9,16,13,17,1,1
1671,47,Non-Travel,171,Sales,27,2,89,14240,11392,Human Resources,16,Sales,1,07-6458981,1,M,3,3,1,2,8,No,22,1,29,1,20,8,13,13,0,4
1672,32,Travel_Rarely,754,Human Resources,23,4,62,9920,7936,Sales Executive,14,Technical Degree,1,70-2938019,2,M,1,3,1,3,4,No,22,2,15,3,14,15,10,6,0,4
1673,34,Travel_Rarely,1450,Human Resources,46,2,38,6080,4864,Laboratory Technician,16,Other,1,25-2119540,4,M,2,3,2,4,4,No,20,1,21,2,33,13,14,14,1,0
1674,49,Non-Travel,1034,Sales,29,5,126,20160,16128,Manufacturing Director,14,Technical Degree,1,30-2863778,1,F,2,3,2,3,2,No,19,3,2,4,34,17,15,3,0,3
1675,58,Travel_Rarely,1406,Sales,11,4,143,22880,18304,Research Scientist,20,Other,1,88-0824729,3,F,4,3,3,1,6,No,25,3,9,2,14,10,7,13,1,1
1676,37,Travel_Frequently,720,Human Resources,34,1,83,13280,10624,Sales Representative,18,Technical Degree,1,03-7737149,1,F,3,3,3,3,8,No,21,0,38,1,8,16,13,4,0,2
1677,50,Travel_Frequently,171,Research & Development,2,5,105,16800,13440,Sales Executive,18,Life Sciences,1,68-2122403,1,M,1,3,3,2,7,No,16,3,24,3,14,3,0,12,1,2
1678,56,Travel_Frequently,1057,Human Resources,48,5,98,15680,12544,Research Director,18,Life Sciences,1,12-1381577,3,F,1,3,1,3,2,No,12,3,18,4,28,1,12,14,0,3
1679,52,Travel_Frequently,729,Human Resources,28,5,50,8000,6400,Research Director,18,Sales,1,81-2094701,3,F,1,3,4,1,7,No,14,3,5,1,18,12,4,9,1,6
1680,36,Travel_Rarely,1277,Sales,28,1,77,12320,9856,Healthcare Representative,14,Other,1,04-6339525,2,M,1,3,4,3,6,No,19,0,6,2,0,2,4,14,1,1
1681,41,Non-Travel,428,Human Resources,40,5,130,20800,16640,Research Director,20,Sales,1,93-4125759,2,M,1,3,2,3,8,No,20,2,4,4,28,13,7,2,0,6
1682,53,Non-Travel,1425,Sales,28,1,86,13760,11008,Sales Representative,12,Other,1,68-5244079,1,M,1,3,4,3,7,No,23,1,21,3,6,20,14,1,0,2
1683,34,Travel_Frequently,201,Human Resources,2,3,122,19520,15616,Sales Executive,16,Medical,1,16-4043964,1,F,4,3,1,4,1,No,11,1,13,3,13,15,14,0,0,2
1684,58,Travel_Rarely,1367,Research & Development,3,4,32,5120,4096,Laboratory Technician,16,Life Sciences,1,71-3996817,3,F,4,3,4,3,2,No,16,2,9,1,40,0,0,2,1,6
1685,53,Travel_Frequently,366,Human Resources,46,2,30,4800,3840,Sales Representative,16,Technical Degree,1,36-7279826,2,F,1,3,3,3,6,No,12,1,3,4,36,17,8,9,1,2
1686,22,Travel_Rarely,1280,Sales,9,5,96,15360,12288,Sales Executive,16,Human Resources,1,30-7128673,4,F,4,3,1,2,4,No,11,2,23,4,5,1,2,8,0,2
1687,52,Non-Travel,258,Sales,11,2,127,20320,16256,Sales Executive,16,Human Resources,1,87-4927798,2,F,4,3,3,3,6,No,22,1,0,1,12,8,15,4,0,5
1688,58,Non-Travel,462,Research & Development,45,3,59,9440,7552,Sales Executive,14,Medical,1,17-8645982,3,F,2,3,3,4,0,No,15,1,31,2,19,8,15,2,0,2
1689,56,Travel_Frequently,658,Sales,5,3,139,22240,17792,Sales Executive,18,Other,1,37-3409471,1,M,3,3,1,3,4,No,12,2,15,4,26,12,8,9,0,6
1690,27,Travel_Rarely,988,Research & Development,6,3,81,12960,10368,Healthcare Representative,14,Technical Degree,1,46-4400734,1,F,3,3,2,2,1,No,19,1,7,4,14,9,9,11,0,3
1691,47,Travel_Rarely,311,Sales,2,2,76,12160,9728,Sales Executive,16,Human Resources,1,47-1799896,3,F,2,3,3,2,7,No,12,1,28,4,16,13,5,8,0,6
1692,36,Travel_Frequently,1252,Sales,41,1,101,16160,12928,Sales Representative,16,Medical,1,93-5484980,3,M,2,3,2,4,0,No,13,0,1,2,15,7,15,4,0,3
1693,36,Travel_Rarely,653,Research & Development,43,1,128,20480,16384,Human Resources,16,Human Resources,1,95-5258207,4,F,1,3,2,2,8,No,21,1,29,1,32,7,11,6,0,6
1694,39,Travel_Rarely,1272,Human Resources,23,3,117,18720,14976,Manufacturing Director,16,Sales,1,73-8337153,3,M,2,3,3,3,5,No,16,1,30,2,16,2,6,0,1,6
1695,56,Non-Travel,1120,Human Resources,6,1,117,18720,14976,Healthcare Representative,14,Sales,1,52-3716995,4,M,3,3,2,1,8,No,11,1,13,3,5,3,1,10,0,5
1696,18,Non-Travel,1104,Human Resources,46,5,109,17440,13952,Research Director,18,Other,1,84-7124682,1,F,3,3,2,4,3,No,25,2,14,2,12,1,0,7,1,5
1697,39,Non-Travel,1148,Sales,40,2,49,7840,6272,Healthcare Representative,16,Technical Degree,1,51-3082240,1,M,3,3,1,4,1,No,12,0,34,4,24,5,10,7,0,3
1698,28,Non-Travel,1270,Research & Development,40,4,139,22240,17792,Sales Executive,16,Other,1,59-8433320,2,F,3,3,4,1,5,No,17,3,2,1,30,19,8,17,1,5
1699,51,Travel_Rarely,120,Research & Development,16,4,117,18720,14976,Sales Executive,14,Medical,1,76-0058839,4,M,3,3,1,3,4,No,13,3,8,3,18,10,5,10,0,6
1700,39,Travel_Frequently,1159,Sales,9,3,76,12160,9728,Research Director,20,Human Resources,1,68-4589897,1,F,4,3,1,4,5,No,11,2,27,1,33,3,12,11,1,0
1701,34,Non-Travel,745,Sales,22,1,80,12800,10240,Sales Representative,16,Medical,1,51-1991474,2,M,4,3,2,4,1,No,15,0,11,4,6,12,11,16,0,6
1702,25,Travel_Frequently,339,Research & Development,43,5,145,23200,18560,Research Scientist,18,Life Sciences,1,86-3449252,1,M,4,3,2,4,5,No,24,3,27,3,39,7,8,9,0,2
1703,44,Travel_Rarely,834,Human Resources,47,3,139,22240,17792,Manufacturing Director,16,Human Resources,1,90-8192298,2,M,2,3,4,3,6,No,13,1,8,4,29,9,9,2,0,4
1704,21,Non-Travel,137,Research & Development,48,2,68,10880,8704,Research Director,20,Sales,1,74-6880742,1,F,2,3,3,1,2,No,19,1,5,4,34,20,15,15,0,4
1705,56,Non-Travel,825,Human Resources,21,3,101,16160,12928,Research Director,18,Sales,1,89-5571251,4,M,3,3,2,4,8,No,23,2,22,2,29,11,7,9,0,1
1706,34,Non-Travel,760,Research & Development,39,3,72,11520,9216,Healthcare Representative,16,Human Resources,1,62-6040838,4,M,4,3,3,1,2,No,23,1,28,2,31,1,3,12,1,4
1707,22,Travel_Frequently,591,Human Resources,26,5,31,4960,3968,Sales Executive,14,Medical,1,30-6486499,2,F,3,3,3,1,7,No,24,3,20,1,8,7,7,2,1,4
1708,54,Travel_Frequently,370,Sales,48,2,101,16160,12928,Research Scientist,20,Medical,1,38-6595161,2,M,3,3,2,3,2,No,22,0,35,2,23,12,13,7,0,3
1709,28,Travel_Frequently,618,Research & Development,48,3,123,19680,15744,Sales Executive,18,Sales,1,19-3538285,1,F,2,3,4,1,0,No,18,2,40,4,39,0,3,11,1,2
1710,51,Non-Travel,1169,Research & Development,11,5,44,7040,5632,Research Director,20,Sales,1,63-9843574,4,M,2,3,1,1,3,No,13,2,15,4,19,9,11,8,1,5
1711,47,Non-Travel,858,Human Resources,3,4,100,16000,12800,Sales Representative,18,Life Sciences,1,06-0123416,2,M,2,3,3,4,5,No,11,2,3,3,28,11,2,12,0,5
1712,51,Non-Travel,1200,Research & Development,29,2,54,8640,6912,Human Resources,14,Other,1,30-1796072,1,M,3,3,4,4,8,No,22,1,0,3,19,7,5,5,0,3
1713,25,Travel_Rarely,1458,Human Resources,8,2,93,14880,11904,Sales Representative,12,Life Sciences,1,59-2628865,3,F,3,3,2,2,3,No,13,1,30,3,14,6,0,10,0,2
